Station,Stratum,year,SweptArea
54,STR2_17,2020,0.03723548
54,STR2_17,2021,0.0359
54,STR2_17,2022,0.0359
55,STR1_17,2019,0.03656774
55,STR1_17,2020,0.0359
55,STR1_17,2021,0.033243399
55,STR1_17,2022,0.029251318
56,STR1_17,2019,0.03656774
56,STR1_17,2020,0.03656774
56,STR1_17,2021,0.03656774
56,STR1_17,2022,0.03656774
57,STR1_17,2019,0.03723548
57,STR2_17,2020,0.03723548
57,STR1_17,2021,0.0359
57,STR2_17,2022,0.03656774
58,STR2_17,2019,0.03723548
58,STR2_17,2020,0.03723548
58,STR2_17,2021,0.0359
58,STR2_17,2022,0.0359
59,STR2_17,2019,0.03656774
59,STR2_17,2020,0.03656774
59,STR2_17,2021,0.03656774
59,STR2_17,2022,0.03723548
6,STR1_17,2019,0.018280279
6,STR1_17,2020,0.01861774
6,STR1_17,2021,0.01795
6,STR1_17,2022,0.01795
60,STR2_17,2019,0.01861774
60,STR2_17,2020,0.01861774
60,STR2_17,2021,0.01950088
60,STR2_17,2022,0.01950088
61,STR2_17,2019,0.03656774
61,STR2_17,2020,0.03656774
61,STR2_17,2021,0.026329059
61,STR2_17,2022,0.03723548
62,STR2_17,2019,0.03656774
62,STR2_17,2020,0.03656774
62,STR2_17,2021,0.0359
62,STR2_17,2022,0.03656774
63,STR1_17,2019,0.03656774
63,STR1_17,2020,0.03656774
63,STR1_17,2021,0.03723548
63,STR1_17,2022,0.032913119
64,STR1_17,2019,0.0243761
64,STR1_17,2020,0.03656774
64,STR1_17,2021,0.03656774
64,STR1_17,2022,0.030471919
65,STR1_17,2019,0.030471919
65,STR1_17,2020,0.03656774
65,STR1_17,2021,0.03656774
65,STR1_17,2022,0.037788339
66,STR1_17,2019,0.03656774
66,STR1_17,2020,0.03723548
66,STR1_17,2021,0.035239439
66,STR1_17,2022,0.03723548
67,STR2_17,2019,0.03656774
67,STR2_17,2020,0.03656774
67,STR2_17,2021,0.03656774
67,STR2_17,2022,0.03656774
68,STR1_17,2019,0.03656774
68,STR1_17,2020,0.03656774
68,STR1_17,2021,0.03656774
68,STR1_17,2022,0.03656774
69,STR3_17,2019,0.03656774
69,STR3_17,2020,0.03656774
69,STR3_17,2021,0.03656774
69,STR3_17,2022,0.03656774
70,STR1_17,2019,0.03656774
70,STR1_17,2020,0.03656774
70,STR1_17,2021,0.03656774
70,STR1_17,2022,0.03656774
71,STR1_17,2019,0.0243761
71,STR1_17,2020,0.03656774
71,STR1_17,2021,0.03656774
71,STR1_17,2022,0.03656774
72,STR3_17,2019,0.03656774
72,STR3_17,2020,0.03656774
72,STR3_17,2021,0.03656774
72,STR3_17,2022,0.03656774
73,STR1_17,2019,0.03656774
73,STR1_17,2020,0.03656774
73,STR1_17,2021,0.03656774
73,STR1_17,2022,0.03656774
74,STR1_17,2019,0.03656774
74,STR1_17,2020,0.03656774
74,STR1_17,2021,0.03656774
74,STR1_17,2022,0.03656774
75,STR3_17,2019,0.03656774
75,STR3_17,2020,0.03656774
75,STR3_17,2021,0.03656774
75,STR3_17,2022,0.03656774
76,STR1_17,2019,0.03656774
76,STR1_17,2020,0.03656774
76,STR1_17,2021,0.03656774
76,STR1_17,2022,0.03656774
8,STR1_17,2019,0.03723548
8,STR1_17,2020,0.03656774
8,STR1_17,2021,0.0359
8,STR1_17,2022,0.0280379
9,STR2_17,2019,0.03656774
9,STR2_17,2020,0.03723548
9,STR2_17,2021,0.03656774
9,STR2_17,2022,0.03723548
