"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g"
"a","solevul",166,40,"m",1,NA,NA
NA,NA,156,35,"m",1,NA,NA
NA,NA,240,132,"f",2,NA,NA
NA,NA,183,56,"m",1,NA,NA
NA,NA,244,132,"f",2,NA,NA
NA,NA,247,156,"f",2,NA,NA
NA,NA,181,49,"f",1,NA,NA
NA,NA,242,130,"f",2,NA,NA
NA,NA,174,52,"m",1,NA,NA
NA,NA,173,43,"m",1,NA,NA
NA,NA,172,46,"f",1,NA,NA
NA,NA,185,59,"m",1,NA,NA
NA,NA,241,137,"f",2,NA,NA
NA,NA,159,36,"f",1,NA,NA
NA,NA,153,37,"f",1,NA,NA
NA,NA,160,38,"f",1,NA,NA
NA,NA,181,51,"m",1,NA,NA
NA,NA,230,128,"f",2,NA,NA
NA,NA,241,134,"m",2,NA,NA
NA,NA,168,47,"m",1,NA,NA
NA,NA,240,118,"f",2,NA,NA
NA,NA,232,114,"m",2,NA,NA
NA,NA,230,125,"f",3,NA,NA
NA,NA,246,145,"f",3,NA,NA
NA,NA,185,63,"m",1,NA,NA
NA,NA,166,43,"m",1,NA,NA
NA,NA,170,45,"m",1,NA,NA
NA,NA,178,51,"f",1,NA,NA
NA,NA,167,48,"m",1,NA,NA
NA,NA,170,49,"f",1,NA,NA
NA,NA,193,68,"m",2,NA,NA
NA,NA,192,69,"m",1,NA,NA
NA,NA,262,167,"f",2,NA,NA
NA,NA,231,105,"m",2,NA,NA
NA,NA,184,52,"f",1,NA,NA
NA,NA,165,45,"m",1,NA,NA
NA,NA,168,43,"m",1,NA,NA
NA,NA,236,108,"f",2,NA,NA
NA,NA,185,55,"f",1,NA,NA
NA,NA,248,146,"f",2,NA,NA
NA,NA,240,117,"m",2,NA,NA
NA,NA,180,44,"f",1,NA,NA
NA,NA,164,46,"f",1,NA,NA
NA,NA,167,54,"m",1,NA,NA
NA,NA,175,48,"f",1,NA,NA
NA,NA,176,48,"m",1,NA,NA
NA,NA,215,80,"m",1,NA,NA
NA,NA,239,124,"f",2,NA,NA
