"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g"
"D","SQUIMAN",32,NA,"F",3,NA,NA
NA,NA,27,NA,"F",2,NA,NA
NA,NA,30,NA,"F",3,NA,NA
NA,NA,33,NA,"F",3,NA,NA
NA,NA,30,NA,"F",3,NA,NA
NA,NA,29,NA,"F",2,NA,NA
NA,NA,30,NA,"F",3,NA,NA
NA,NA,28,NA,"F",3,NA,NA
NA,NA,31,NA,"F",3,NA,NA
NA,NA,31,NA,"F",3,NA,NA
NA,NA,31,NA,"F",3,NA,NA
NA,NA,27,NA,"F",2,NA,NA
NA,NA,32,NA,"M",NA,NA,NA
NA,NA,30,NA,"M",NA,NA,NA
NA,NA,32,NA,"M",NA,NA,NA
