"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g"
"A","OSTREDU",NA,NA,NA,NA,81,5500
"D","OSTREDU",NA,NA,NA,NA,87,6000
NA,NA,NA,NA,NA,NA,NA,NA
