"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g"
"D","SCYOCAN",383,NA,"F",1,NA,NA
"D","SCYOCAN",412,NA,"F",1,NA,NA
"A","SCYOCAN",377,NA,"F",1,NA,NA
"D","LOPHBUD",500,2400,NA,NA,NA,NA
