"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g"
"A","SQUIMAN",30,NA,"F",2,NA,NA
NA,NA,30,NA,"F",3,NA,NA
NA,NA,24,NA,"M",NA,NA,NA
"D","SQUIMAN",25,NA,"M",NA,NA,NA
NA,NA,25,NA,"M",NA,NA,NA
NA,NA,24,NA,"M",NA,NA,NA
NA,NA,24,NA,"M",NA,NA,NA
NA,NA,21,NA,"M",NA,NA,NA
NA,NA,27,NA,"F",3,NA,NA
NA,NA,33,NA,"F",2,NA,NA
NA,NA,26,NA,"F",2,NA,NA
NA,NA,32,NA,"F",2,NA,NA
NA,NA,35,NA,"F",3,NA,NA
NA,NA,13,NA,"M",NA,NA,NA
