"rownames","gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
1,"D","PAPELON",24,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,1
2,NA,NA,26,10,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,2
3,NA,NA,25,11,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,3
4,NA,NA,25,9,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,4
5,NA,NA,25,9,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,5
6,NA,NA,22,6,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,6
7,NA,NA,17,4,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,7
8,NA,NA,26,11,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,8
9,NA,NA,0,5,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,9
10,NA,NA,25,9,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,10
11,NA,NA,21,8,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,11
12,NA,NA,25,10,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,12
13,NA,NA,25,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,13
14,NA,NA,25,11,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,14
15,NA,NA,26,12,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,15
16,NA,NA,24,10,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,16
17,NA,NA,22,6,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,17
18,NA,NA,19,5,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,18
19,NA,NA,17,5,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,19
20,NA,NA,22,8,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,20
21,NA,NA,22,8,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,21
22,NA,NA,24,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,22
23,NA,NA,21,6,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,23
24,NA,NA,21,7,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,24
25,NA,NA,18,5,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,25
26,NA,NA,21,0,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,26
27,NA,"LOPHBUD",130,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,27
28,NA,NA,126,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,28
29,NA,NA,255,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,29
30,NA,NA,186,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,30
31,NA,NA,305,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,31
32,NA,NA,157,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,32
33,NA,NA,180,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,33
34,NA,NA,254,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,34
35,NA,NA,177,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,35
36,NA,NA,161,1230,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,36
37,NA,"SEPIOFF",120,226,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,37
38,NA,NA,125,277,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,38
39,NA,"CITHMAC",119,12,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,39
40,NA,"SQUIMAN",21,14,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,40
41,NA,"SERAHEP",89,12,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,41
42,NA,"SCORNOT",89,13,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,42
43,NA,"EUTRGUR",137,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,43
44,NA,NA,145,47,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,44
45,NA,"URANSCA",212,154,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,45
46,NA,NA,214,173,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,46
47,NA,"MUREBRA",0,77,NA,0,NA,0,0,3,0,0,0,0,0,NA,NA,47
48,NA,"GALEECH",0,44,NA,0,NA,0,0,1,0,0,0,0,0,NA,NA,48
49,NA,"MERLMER",245,120,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,49
50,NA,NA,213,84,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,50
51,NA,NA,200,51,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,51
52,NA,NA,200,59,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,52
53,NA,NA,205,66,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,53
54,NA,NA,240,89,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,54
55,NA,NA,297,183,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,55
56,NA,NA,375,362,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,56
57,"A","MELIKER",40,33,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,57
58,NA,"SEPIOFF",98,111,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,58
59,NA,NA,121,208,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,59
60,NA,NA,123,233,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,60
61,NA,"CITHMAC",130,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,61
62,NA,NA,121,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,62
63,NA,NA,125,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,63
64,NA,NA,167,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,64
65,NA,NA,193,125,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,65
