"rownames","gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
1,"D","MELIKER",37,27,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,1
2,NA,NA,27,11,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,2
3,NA,NA,28,13,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,3
4,NA,NA,25,9,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,4
5,NA,NA,23,7,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,5
6,NA,NA,27,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,6
7,NA,"SQUIMAN",27,31,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,7
8,NA,NA,29,48,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,8
9,NA,NA,28,41,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,9
10,NA,NA,30,52,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,10
11,NA,NA,33,59,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,11
12,NA,NA,32,57,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,12
13,NA,NA,30,58,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,13
14,NA,NA,27,38,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,14
15,NA,NA,33,65,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,15
16,NA,NA,28,46,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,16
17,NA,NA,31,55,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,17
18,NA,NA,30,37,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,18
19,NA,NA,28,36,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,19
20,NA,NA,26,37,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,20
21,NA,NA,29,39,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,21
22,NA,NA,33,54,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,22
23,NA,NA,28,31,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,23
24,NA,NA,29,39,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,24
25,NA,"RAJAAST",217,57,"M",1,NA,120,142,0,0,0,0,0,0,NA,NA,25
26,NA,NA,193,33,"M",1,NA,107,129,0,0,0,0,0,0,NA,NA,26
27,NA,NA,267,100,"M",1,NA,140,169,0,0,0,0,0,0,NA,NA,27
28,NA,NA,280,122,"M",1,NA,150,184,0,0,0,0,0,0,NA,NA,28
29,NA,"PAGEERY",106,17,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,29
30,NA,NA,135,21,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,30
31,NA,"TRAHDRA",199,58,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,31
32,NA,"TRIGLUC",241,134,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,32
33,NA,NA,245,135,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,33
34,NA,NA,261,175,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,34
35,NA,"LEPTCAV",86,6,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,35
36,NA,"ARNOLAT",110,13,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,36
37,NA,"ELEDMOS",80,98,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,37
38,NA,"MUREBRA",0,342,NA,0,NA,0,0,16,0,0,0,0,0,NA,NA,38
39,NA,"MYTGALL",NA,100,NA,0,NA,0,0,20,0,0,0,0,0,NA,NA,39
40,"A","SQUIMAN",32,69,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,40
41,NA,NA,30,50,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,41
42,NA,NA,32,64,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,42
43,NA,NA,32,51,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,43
44,NA,NA,32,70,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,44
45,NA,NA,29,47,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,45
46,NA,NA,30,41,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,46
47,NA,NA,34,70,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,47
48,NA,NA,30,54,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,48
49,NA,NA,31,52,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,49
50,NA,NA,30,56,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,50
51,NA,NA,29,33,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,51
52,NA,NA,33,71,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,52
53,NA,"MELIKER",35,25,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,53
54,NA,NA,24,9,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,54
55,NA,NA,23,8,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,55
56,NA,NA,28,14,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,56
57,NA,"PAGEERY",135,30,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,57
58,NA,NA,161,54,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,58
59,NA,NA,118,23,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,59
60,NA,NA,122,26,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,60
61,NA,NA,118,22,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,61
62,NA,NA,110,19,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,62
63,NA,NA,153,45,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,63
64,NA,NA,81,8,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,64
65,NA,NA,113,20,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,65
66,NA,NA,78,7,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,66
67,NA,NA,106,17,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,67
68,NA,"TRIGLUC",284,220,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,68
69,NA,"SEPIOFF",112,180,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,69
70,NA,"LOLIVUL",131,88,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,70
71,NA,"RAJAAST",310,182,"M",1,NA,172,209,0,0,0,0,0,0,NA,NA,71
72,NA,NA,234,75,"M",1,NA,126,158,0,0,0,0,0,0,NA,NA,72
73,NA,NA,244,112,"F",1,NA,136,165,0,0,0,0,0,0,NA,NA,73
74,NA,NA,268,124,"M",1,NA,153,185,0,0,0,0,0,0,NA,NA,74
75,NA,NA,282,129,"M",1,NA,154,285,0,0,0,0,0,0,NA,NA,75
76,NA,NA,283,151,"M",1,NA,163,200,0,0,0,0,0,0,NA,NA,76
77,NA,NA,251,107,"F",1,NA,143,177,0,0,0,0,0,0,NA,NA,77
78,NA,NA,298,154,"M",1,NA,165,199,0,0,0,0,0,0,NA,NA,78
79,NA,NA,255,100,"F",1,NA,143,176,0,0,0,0,0,0,NA,NA,79
80,NA,NA,264,106,"M",1,NA,148,170,0,0,0,0,0,0,NA,NA,80
81,NA,NA,340,265,"F",1,NA,185,230,0,0,0,0,0,0,NA,NA,81
82,NA,NA,193,39,"F",1,NA,108,130,0,0,0,0,0,0,NA,NA,82
83,NA,NA,213,49,"F",1,NA,118,142,0,0,0,0,0,0,NA,NA,83
84,"D","MUREBRA",0,342,NA,0,NA,0,0,16,0,0,0,0,0,NA,NA,84
85,NA,"MYTGALL",0,100,NA,0,NA,0,0,20,0,0,0,0,0,NA,NA,85
86,"A","MUREBRA",0,423,NA,0,NA,0,0,21,0,0,0,0,0,NA,NA,86
87,NA,"MYTGALL",0,184,NA,0,NA,0,0,41,0,0,0,0,0,NA,NA,87
88,"D","SOLEIMP",170,44,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,88
89,"D","MUREBRA",0,61,NA,0,NA,0,0,3,0,0,0,0,0,NA,NA,89
90,NA,"AEQUOPE",0,24,NA,0,NA,0,0,1,0,0,0,0,0,NA,NA,90
91,"A","SOLEVUL",247,153,"F",2,"SS7933",0,0,0,0,0,0,0,0,NA,NA,91
92,NA,NA,277,190,"M",2,"SS7934",0,0,0,0,0,0,0,0,NA,NA,92
93,NA,NA,240,122,"M",2,"SS7935",0,0,0,0,0,0,0,0,NA,NA,93
94,NA,NA,234,118,"M",2,"SS7936",0,0,0,0,0,0,0,0,NA,NA,94
95,"D",NA,276,186,"F",3,"SS7937",0,0,0,0,0,0,0,0,NA,NA,95
96,NA,NA,253,155,"F",2,"SS7938",0,0,0,0,0,0,0,0,NA,NA,96
97,NA,NA,303,300,"F",3,"SS7939",0,0,0,0,0,0,0,0,NA,NA,97
98,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,98
