"rownames","gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
1,"A","CITHMAC",140,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,1
2,NA,NA,180,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,2
3,NA,NA,149,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,3
4,NA,NA,207,170,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,4
5,NA,"URANSCA",132,41,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,5
6,NA,"SCORNOT",110,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,6
7,NA,NA,109,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,7
8,NA,NA,110,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,8
9,NA,NA,119,122,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,9
10,NA,"SERAHEP",81,11,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,10
11,NA,"GOBINIG",120,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,11
12,NA,NA,115,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,12
13,NA,NA,130,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,13
14,NA,NA,140,101,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,14
15,NA,"ELEDMOS",70,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,15
16,NA,NA,82,484,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,16
17,NA,"MICUOCE",124,31,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,17
18,NA,"ARNOTHO",120,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,18
19,NA,NA,105,34,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,19
20,NA,"EUTRGUR",162,38,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,20
21,NA,"LEPTCAV",82,7,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,21
22,NA,"ARNOLAT",95,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,22
23,NA,NA,75,10,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,23
24,NA,"RAJAAST",240,66,"F",1,NA,105,142,0,0,0,0,0,0,NA,NA,24
25,NA,"EUTRGUR",155,34,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,25
26,NA,"MICUOCE",152,56,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,26
27,NA,"MERLMER",172,43,"I",0,NA,0,0,0,0,0,0,0,0,NA,NA,27
28,NA,NA,187,53,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,28
29,NA,"MELIKER",37,30,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,29
30,NA,NA,34,26,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,30
31,NA,NA,38,30,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,31
32,NA,NA,27,14,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,32
