"rownames","gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
1,"D","LOPHBUD",221,187,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,1
2,NA,"CITHMAC",150,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,2
3,NA,NA,181,72,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,3
4,NA,"TRIGLUC",230,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,4
5,NA,NA,215,226,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,5
6,NA,"SCORNOT",140,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,6
7,NA,NA,117,85,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,7
8,NA,"ARNOLAT",75,4,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,8
9,NA,"MERLMER",230,90,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,9
10,NA,NA,201,63,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,10
11,NA,"SOLEVUL",256,140,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,11
12,NA,NA,260,149,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,12
13,NA,NA,237,127,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,13
14,NA,NA,268,179,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,14
15,NA,NA,267,166,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,15
16,NA,NA,NA,166,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,16
17,NA,NA,219,81,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,17
18,NA,NA,291,219,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,18
19,NA,NA,250,145,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,19
20,NA,NA,248,124,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,20
21,NA,NA,260,155,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,21
