rownames;gear;species_name;length_mm;weight_g;Sex;Mat;id_specimen;length_field2;length_field3;total_number;subsample_number;kg_field1;kg_field2;kg_field3;haul_weight;type_subsample;Notes;ID;haul
111;D;MUREBRA;0;24;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;111;cala_35
104;NA;NA;112;194;F;2;NA;0;0;0;0;0;0;0;0;NA;NA;104;cala_38
237;A;HEXATRU;0;0;NA;0;NA;0;0;22;0;4.4;0.436;0;192;C2_haul;NA;237;cala_4
238;NA;MUREBRA;0;0;NA;0;NA;0;0;31;0;4.4;0.148;0;191;C2_haul;NA;238;cala_4
239;NA;ARNOLAT;100;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;239;cala_4
240;NA;NA;120;22;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;240;cala_4
241;D;MUREBRA;0;88;NA;0;NA;0;0;18;0;0;0;0;0;NA;NA;241;cala_4
242;NA;HEXATRU;0;105;NA;0;NA;0;0;4;0;0;0;0;0;NA;NA;242;cala_4
243;NA;SOLEVUL;221;62;M;1;NA;0;0;0;0;0;0;0;0;NA;NA;243;cala_4
244;NA;ARNOLAT;117;12;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;244;cala_4
41;D;ARNOLAT;119;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;41;cala_43
42;NA;NA;107;25;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;42;cala_43
44;A;MUREBRA;0;1263;NA;0;NA;0;0;201;0;0;0;0;0;NA;NA;44;cala_44
45;NA;HEXATRU;0;205;NA;0;NA;0;0;11;0;0;0;0;0;NA;NA;45;cala_44
46;NA;OSTREDU;0;14;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;46;cala_44
47;NA;MELIKER;23;8;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;47;cala_44
48;NA;NA;18;5;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;48;cala_44
85;A;GOBIQUA;66;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;85;cala_45
86;D;GOBIQUA;60;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;86;cala_45
87;A;OSTREDU;0;0;NA;0;NA;0;0;0;5;9;0.026;0;1070;C2_haul;NA;87;cala_45
88;NA;MUREBRA;0;0;NA;0;NA;0;0;0;1;9;0.007;0;1070;C2_haul;NA;88;cala_45
57;A;OSTREDU;0;0;NA;0;NA;0;0;0;4;9;0.03;0;650;C2_haul;NA;57;cala_45bis
58;NA;MUREBRA;0;0;NA;0;NA;0;0;0;2;9;0.013;0;650;C2_haul;NA;58;cala_45bis
59;NA;CHLAGLA;53;5;NA;0;NA;0;0;0;0;9;0;0;650;C2_haul;NA;59;cala_45bis
60;D;OSTREDU;0;0;NA;0;NA;0;0;0;2;5.5;0.017;0;850;C2_haul;NA;60;cala_45bis
61;NA;MUREBRA;0;0;NA;0;NA;0;0;0;2;5.5;0.005;0;850;C2_haul;NA;61;cala_45bis
62;NA;CHLAGLA;40;7;NA;0;NA;0;0;0;0;5.5;0;0;850;C2_haul;NA;62;cala_45bis
63;A;GOBIQUA;67;3;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;63;cala_45bis
250;D;HEXATRU;0;48;NA;0;NA;0;0;2;0;0;0;0;0;NA;NA;251;cala_47
251;NA;MUREBRA;0;22;NA;0;NA;0;0;4;0;0;0;0;0;NA;NA;252;cala_47
160;D;ARNOLAT;10;8;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;160;cala_5
178;D;OSTREDU;0;18;NA;0;NA;0;0;8;0;0;0;0;0;NA;NA;178;cala_50
179;NA;MYTGALL;0;1;NA;0;NA;0;0;5;0;0;0;0;0;NA;NA;179;cala_50
180;NA;MUREBRA;0;36;NA;0;NA;0;0;3;0;0;0;0;0;NA;NA;180;cala_50
181;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;181;cala_50
182;NA;NA;0;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;182;cala_50
105;D;MUREBRA;0;105;NA;0;NA;0;0;5;0;0;0;0;0;NA;NA;105;cala_51
106;NA;HEXATRU;0;32;NA;0;NA;0;0;2;0;0;0;0;0;NA;NA;106;cala_51
107;NA;AEQUOPE;39;9;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;107;cala_51
108;NA;PECTJAC;75;57;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;108;cala_51
109;NA;GOBINIG;122;23;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;109;cala_51
193;D;HEXATRU;0;15;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;193;cala_54
194;NA;MUREBRA;0;16;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;194;cala_54
195;NA;AEQUOPE;38;9;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;195;cala_54
125;D;HEXATRU;0;0;NA;0;NA;0;0;0;81;8.5;1.145;0;30;C2_haul;NA;125;cala_55
